Name,ISIN,Stock Market,Regulator 
Atlas Copco B,SE0011166628,Nasdaq Stockholm ,FIS
Epiroc A,SE0011166933,Nasdaq Stockholm ,FIS
Epiroc B,SE0011166941,Nasdaq Stockholm ,FIS
Fabege,SE0011166974,Nasdaq Stockholm ,FIS
NCAB Group,SE0011167956,Nasdaq Stockholm ,FIS
Nederman Holding,SE0011204510,Nasdaq Stockholm ,FIS
Wihlborgs Fastigheter,SE0011205194,Nasdaq Stockholm ,FIS
Vitrolife,SE0011205202,Nasdaq Stockholm ,FIS
Boule Diagnostics,SE0011231158,Nasdaq Stockholm ,FIS
Eniro,SE0011256312,Nasdaq Stockholm ,FIS
Fastpartner Pref,SE0011309236,Nasdaq Stockholm ,FIS
Projektengagemang Sweden B,SE0011337666,Nasdaq Stockholm ,FIS
AAK,SE0011337708,Nasdaq Stockholm ,FIS
Nyfosa,SE0011426428,Nasdaq Stockholm ,FIS
Q-Linea,SE0011527845,Nasdaq Stockholm ,FIS
Samhällsbyggnadsbo. i Norden D,SE0011844091,Nasdaq Stockholm ,FIS
Lime Technologies,SE0011870195,Nasdaq Stockholm ,FIS
Strax,SE0012040459,Nasdaq Stockholm ,FIS
Nordic Entertainment Group B,SE0012116390,Nasdaq Stockholm ,FIS
SkiStar B,SE0012141687,Nasdaq Stockholm ,FIS
Stockwik Förvaltning,SE0012257970,Nasdaq Stockholm ,FIS
Karnov Group,SE0012323715,Nasdaq Stockholm ,FIS
Nordic Entertainment Group A,SE0012324226,Nasdaq Stockholm ,FIS
Avanza Bank Holding,SE0012454072,Nasdaq Stockholm ,FIS
Björn Borg,SE0012455350,Nasdaq Stockholm ,FIS
Boliden,SE0012455673,Nasdaq Stockholm ,FIS
John Mattson Fastighetsföret.,SE0012481364,Nasdaq Stockholm ,FIS
Evolution Gaming Group,SE0012673267,Nasdaq Stockholm ,FIS
XANO Industri B,SE0012674232,Nasdaq Stockholm ,FIS
IRLAB Therapeutics A,SE0012675361,Nasdaq Stockholm ,FIS
HEBA B,SE0012676336,Nasdaq Stockholm ,FIS
Troax Group,SE0012729366,Nasdaq Stockholm ,FIS
EQT,SE0012853455,Nasdaq Stockholm ,FIS
Moberg Pharma,SE0013121340,Nasdaq Stockholm ,FIS
K-Fast Holding B,SE0013382355,Nasdaq Stockholm ,FIS
Fastpartner A,SE0013512506,Nasdaq Stockholm ,FIS
Fastpartner D,SE0013512514,Nasdaq Stockholm ,FIS
CELLINK B,SE0013647385,Nasdaq Stockholm ,FIS
Qliro,SE0013719077,Nasdaq Stockholm ,FIS
Electrolux Professional B,SE0013747870,Nasdaq Stockholm ,FIS
Betsson B,SE0014186532,Nasdaq Stockholm ,FIS
NetEnt B,SE0014186656,Nasdaq Stockholm ,FIS
Tethys Oil,SE0014399424,Nasdaq Stockholm ,FIS
AddLife B,SE0014401378,Nasdaq Stockholm ,FIS
VNV Global,SE0014428835,Nasdaq Stockholm ,FIS
Wästbygg Gruppen B,SE0014453874,Nasdaq Stockholm ,FIS
Loomis,SE0014504817,Nasdaq Stockholm ,FIS
SECTRA B,SE0014609061,Nasdaq Stockholm ,FIS
Kinnevik A,SE0014684510,Nasdaq Stockholm ,FIS
Kinnevik B,SE0014684528,Nasdaq Stockholm ,FIS
Nordic Waterproofing Holding,SE0014731089,Nasdaq Stockholm ,FIS
Addtech B,SE0014781795,Nasdaq Stockholm ,FIS
Nordic Paper Holding,SE0014808838,Nasdaq Stockholm ,FIS
Readly International,SE0014855292,Nasdaq Stockholm ,FIS
Eniro Pref A,SE0014957320,Nasdaq Stockholm ,FIS
SWECO A,SE0014960365,Nasdaq Stockholm ,FIS
SWECO B,SE0014960373,Nasdaq Stockholm ,FIS
Lagercrantz Group B,SE0014990966,Nasdaq Stockholm ,FIS
Nordnet,SE0015192067,Nasdaq Stockholm ,FIS
Gaming Innovation Group,US36467X2062,Nasdaq Stockholm ,FIS
1PM PLC,GB00BCDBXK43,LSE,FCA 
1SPATIAL PLC,GB00BFZ45C84,LSE,FCA 
3I GROUP PLC,GB00B1YW4409,LSE,FCA 
3I INFRASTRUCTURE PLC,JE00BF5FX167,LSE,FCA 
4D PHARMA PLC,GB00BJL5BR07,LSE,FCA 
ABERFORTH SPLIT LEVEL INCOME TRUST PLC,GB00BYPBD519,LSE,FCA 
ACCESS INTELLIGENCE PLC,GB00BGQVB052,LSE,FCA 
ACCESSO TECHNOLOGY GROUP PLC,GB0001771426,LSE,FCA 
ACCROL GROUP HOLDINGS PLC,GB00BZ6VT592,LSE,FCA 
ACCSYS TECHNOLOGIES PLC,GB00BQQFX454,LSE,FCA 
ACORN INCOME FUND LD,GB0004829437,LSE,FCA 
ACORN INCOME FUND LD,GG00BYMJ7X48,LSE,FCA 
ACTIVE ENERGY GROUP PLC,GB00B1YMN108,LSE,FCA 
ACTUAL EXPERIENCE PLC,GB00BJ05QC14,LSE,FCA 
ADAMAS FINANCE ASIA LIMITED,VGG008271246,LSE,FCA 
ADAMS PLC,IM00B986V543,LSE,FCA 
ADEPT TECHNOLOGY GROUP PLC,GB00B0WY3Y47,LSE,FCA 
ADES INTERNATIONAL HOLDING PLC,AEDFXA1EN018,LSE,FCA 
ADM ENERGY PLC,GB00BJFDXW97,LSE,FCA 
ADMIRAL GROUP PLC,GB00B02J6398,LSE,FCA 
ADRIATIC METALS PLC,GB00BL0L5G04,LSE,FCA 
ADVANCED MEDICAL SOLUTIONS GROUP PLC,GB0004536594,LSE,FCA 
AMIGO HOLDINGS PLC,GB00BFFK8T45,LSE,FCA 
AMINEX PLC,IE0003073255,LSE,FCA 
AMINO TECHNOLOGIES PLC,GB00B013SN63,LSE,FCA 
AMRYT PHARMA PLC,GB00BKLTQ412,LSE,FCA 
AMUR MINERALS CORPORATION,VGG042401007,LSE,FCA 
ANDREWS SYKES GROUP PLC,GB0002684552,LSE,FCA 
ANEMOI INTERNATIONAL LTD,VGG0419A1057,LSE,FCA 
ANEXO GROUP PLC,GB00BF2G3L29,LSE,FCA 
ANGLE PLC,GB0034330679,LSE,FCA 
ANGLESEY MINING PLC,GB0000320472,LSE,FCA 
ANGLING DIRECT PLC,GB00BF1XGQ00,LSE,FCA 
ANGLO AFRICAN AGRICULTURE PLC,GB00BKBS0353,LSE,FCA 
ANGLO AFRICAN OIL & GAS PLC,GB00BD0Q3L08,LSE,FCA 
ANGLO AMERICAN PLC,GB00B1XZS820,LSE,FCA 
ANGLO ASIAN MINING PLC,GB00B0C18177,LSE,FCA 
ANGLO-EASTERN PLANTATIONS PLC,GB0000365774,LSE,FCA 
ANGLO PACIFIC GROUP PLC,GB0006449366,LSE,FCA 
ANGUS ENERGY PLC,GB00BYWKC989,LSE,FCA 
ANIMALCARE GROUP PLC,GB0032350695,LSE,FCA 
ANPARIO PLC,GB00B3NWT178,LSE,FCA 
ANTOFAGASTA PLC,GB0000455849,LSE,FCA 
ANTOFAGASTA PLC,GB0000456144,LSE,FCA 
AO WORLD PLC,GB00BJTNFH41,LSE,FCA 
